Epoch,Batch,Loss
1,1,0.23854405879974366
1,101,22.71660451889038
1,201,43.28118394613266
1,301,62.673566377162935
1,401,80.76311357021332
1,summary,1.9891022108239496,0.30360721442885774,6986
2,1,0.1543079733848572
2,101,16.502217853069304
2,201,32.0016026198864
2,301,46.34074706435204
2,401,60.641294080018994
2,summary,1.5037103060726715,0.49069567706842254,6986
3,1,0.16902321577072144
3,101,13.54579754471779
3,201,26.11577761769295
3,301,37.78569179773331
3,401,49.190438461303714
3,summary,1.212485002434772,0.5977669624964214,6986
4,1,0.13085209131240844
4,101,10.566382104158402
4,201,20.832595014572142
4,301,30.722795325517655
4,401,39.82176653444767
4,summary,0.9838380939082095,0.6717721156598913,6986
5,1,0.06757609248161316
5,101,8.612436425685882
5,201,16.96063124239445
5,301,24.852924796938897
5,401,32.31801712214947
5,summary,0.8059297010336642,0.7356140853134842,6986
6,1,0.11755900382995606
6,101,7.256219232082367
6,201,13.927343146502972
6,301,21.049096681177616
6,401,27.787824188172817
6,summary,0.6978460371289701,0.7755511022044088,6986
7,1,0.06493240594863892
7,101,6.43489753305912
7,201,12.651792895793914
7,301,18.475405433773993
7,401,24.115214727818966
7,summary,0.6001149717061962,0.8070426567420556,6986
8,1,0.04281873404979706
8,101,5.571196334064007
8,201,11.451223912835122
8,301,17.059352277219297
8,401,22.43179872781038
8,summary,0.5590662526593329,0.8187804179788147,6986
9,1,0.056786751747131346
9,101,5.126349879801273
9,201,10.510385946929455
9,301,15.57819323092699
9,401,20.688994313776494
9,summary,0.5135518026706556,0.8406813627254509,6986
10,1,0.06644784212112427
10,101,4.6886937960982324
10,201,9.61266182810068
10,301,14.46029527783394
10,401,19.270004165172576
10,summary,0.48291748963313463,0.8522759805324935,6986
